FirstName,LastName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Milad,KARIMI,m,KAZ,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",FX,1,6.3,7.9,NA,14.2
Illia,KOVTUN,m,UKR,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",FX,2,6.1,7.933,0.1,13.933
Riley,LOOS,m,USA,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",FX,3,5.6,8.133,NA,13.733
Nicola,BARTOLINI,m,ITA,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",FX,4,5.4,8.033,NA,13.433
Aurel,BENOVIC,m,CRO,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",FX,5,6.2,7.5,0.3,13.4
Dominick,CUNNINGHAM,m,IRL,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",FX,6,5.3,7.766,NA,13.066
Eamon,MONTGOMERY,m,IRL,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",FX,7,5.9,7.166,0.3,12.766
Harry,HEPWORTH,m,GBR,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",FX,8,5.9,6.6,NA,12.5
Alexander,MYAKININ,m,ISR,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",HB,1,6.1,8.1,NA,14.2
Kazuki,MATSUMI,m,JPN,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",HB,2,5.9,8.133,NA,14.033
Tin,SRBIC,m,CRO,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",HB,3,5.9,7.766,NA,13.666
Takeru,KITAZONO,m,JPN,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",HB,4,6.1,7.166,NA,13.266
Curran,PHILLIPS,m,USA,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",HB,5,5.5,7.633,NA,13.133
Mitchell,MORGANS,m,AUS,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",HB,6,5.6,7.2,NA,12.8
Ahmed,ELMARAGHY,m,EGY,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",HB,7,5.3,7.166,NA,12.466
Ivan,TIKHONOV,m,AZE,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",HB,8,5.1,7.1,NA,12.2
Carlos Edriel,YULO,m,PHI,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PB,1,6.5,8.9,NA,15.4
Illia,KOVTUN,m,UKR,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PB,2,6.6,8.766,NA,15.366
Cameron Lie,BERNARD,m,FRA,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PB,3,6.2,8.4,NA,14.6
Mohamed,AFIFY,m,EGY,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PB,4,6,8.533,NA,14.533
Curran,PHILLIPS,m,USA,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PB,5,6.8,7.7,NA,14.5
Kazuki,MATSUMI,m,JPN,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PB,6,6.1,8.333,NA,14.433
Rasuljon,ABDURAKHIMOV,m,UZB,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PB,7,5.9,8.366,NA,14.266
Dilan,JIMENEZ GIRALDO,m,COL,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PB,8,5.4,7.866,NA,13.266
Nariman,KURBANOV,m,KAZ,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PH,1,6.6,8.7,NA,15.3
Rhys,MC CLENAGHAN,m,IRL,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PH,2,6.6,8.333,NA,14.933
Matvei,PETROV,m,ALB,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PH,3,6.2,8.566,NA,14.766
Benjamin,OSBERGER,m,FRA,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PH,4,6,8.6,NA,14.6
Illia,KOVTUN,m,UKR,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PH,5,6.2,8.233,NA,14.433
Yu Jan,SHIAO,m,TPE,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PH,6,5.5,8.033,NA,13.533
Utkirbek,JURAEV,m,UZB,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PH,7,5.7,7.433,NA,13.133
Vedant,SAWANT,m,AUS,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",PH,8,5.9,7.166,NA,13.066
Nikita,SIMONOV,m,AZE,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",RG,1,6.2,8.433,NA,14.633
Mahdi,AHMAD KOHANI,m,IRI,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",RG,2,6,8.5,NA,14.5
Vinzenz,HOECK,m,AUT,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",RG,3,6,8.433,NA,14.433
Van Khanh Phong,NGUYEN,m,VIE,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",RG,4,5.9,8.466,NA,14.366
Guan Yi,LIN,m,TPE,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",RG,5,5.9,8.333,NA,14.233
Mehmet Ayberk,KOSAK,m,TUR,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",RG,6,6,8.233,NA,14.233
Carlos Edriel,YULO,m,PHI,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",RG,7,5.7,8.466,NA,14.166
Riley,LOOS,m,USA,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",RG,8,5.7,8.3,NA,14
Carlos Edriel,YULO,m,PHI,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_1,1,5.6,9.433,NA,15.033
Carlos Edriel,YULO,m,PHI,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_2,1,5.6,9.233,NA,14.833
Harry,HEPWORTH,m,GBR,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_1,2,5.6,9.166,NA,14.766
Harry,HEPWORTH,m,GBR,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_2,2,5.6,9.266,NA,14.866
Wai Hung,SHEK,m,HKG,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_1,3,6,8.966,0.1,14.866
Wai Hung,SHEK,m,HKG,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_2,3,5.6,9.066,0.1,14.566
Mahdi,OLFATI,m,IRI,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_1,4,5.6,9.433,NA,15.033
Mahdi,OLFATI,m,IRI,9–12 Mar 2023,World Cup,final,"Baku, Azerbaijan",VT_2,4,5.6,8.266,0.1,13.766
