FirstName,LastName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Illia,KOVTUN,m,UKR,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",FX,1,6.2,8.233,NA,14.433
Aurel,BENOVIC,m,CRO,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",FX,2,6.2,7.966,NA,14.166
Eamon,MONTGOMERY,m,IRL,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",FX,3,5.9,8.166,NA,14.066
Hayden,SKINNER,m,GBR,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",FX,4,6.1,7.7,NA,13.8
Sam,MOSTOWFI,m,GBR,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",FX,5,5.6,8.066,NA,13.666
Milad,KARIMI,m,KAZ,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",FX,6,6.1,7.166,NA,13.266
Michalis,CHARI,m,CYP,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",FX,7,5.7,6.5,NA,12.2
Kameron,NELSON,m,USA,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",FX,8,6,5.8,NA,11.8
Illia,KOVTUN,m,UKR,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",HB,1,5.7,8.4,NA,14.1
Maxime,GENTGES,m,BEL,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",HB,2,5.5,8.266,NA,13.766
Casimir,SCHMIDT,m,NED,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",HB,3,5.2,8.333,NA,13.533
Carlo,HOERR,m,GER,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",HB,4,5.3,8.233,NA,13.533
Ahmed,ELMARAGHY,m,EGY,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",HB,5,5.7,7.466,NA,13.166
Mert Efe,KILICER,m,TUR,27–30 Apr 2023,World Cup,final,"Cairo, Egypt",HB,6,5.1,7.3,NA,12.4
