FirstName,LastName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Artem,DOLGOPYAT,m,ISR,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",FX,1,6.4,8.166,0.1,14.466
Kazuma,KAYA,m,JPN,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",FX,2,5.7,8.166,NA,13.866
Milan,HOSSEINI,m,GER,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",FX,2,5.7,8.166,NA,13.866
Benjamin,OSBERGER,m,FRA,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",FX,4,5.6,8.2,NA,13.8
Dmitriy,PATANIN,m,KAZ,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",FX,5,5.9,7.9,NA,13.8
Sebastian,GAWRONSKI,m,POL,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",FX,6,5.7,7.8,NA,13.5
Milad,KARIMI,m,KAZ,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",FX,7,6.2,7.033,0.3,12.933
Aurel,BENOVIC,m,CRO,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",FX,8,6.3,6.5,0.2,12.6
Shohei,KAWAKAMI,m,JPN,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",HB,1,6.2,8.066,NA,14.266
Carlo,MACCHINI,m,ITA,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",HB,2,6.1,8.033,NA,14.133
Kazuma,KAYA,m,JPN,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",HB,3,5.9,8.2,NA,14.1
Martijn,DE VEER,m,NED,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",HB,4,5.6,8.2,NA,13.8
Illia,KOVTUN,m,UKR,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",HB,5,5.7,8.033,NA,13.733
Mathias,PHILIPPE,m,FRA,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",HB,6,5.6,7.766,NA,13.366
Alexander,MYAKININ,m,ISR,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",HB,7,6,6.8,NA,12.8
Maxime,GENTGES,m,BEL,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",HB,8,4.9,7.366,NA,12.266
Illia,KOVTUN,m,UKR,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PB,1,6.6,8.766,NA,15.366
Matteo,LEVANTESI,m,ITA,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PB,2,6.5,8.766,NA,15.266
Carlos Edriel,YULO,m,PHI,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PB,3,6.5,8.666,NA,15.166
Kazuma,KAYA,m,JPN,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PB,4,6.3,8.4,NA,14.7
Ferhat,ARICAN,m,TUR,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PB,5,6.5,8,NA,14.5
Nils,DUNKEL,m,GER,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PB,6,5.7,8.533,NA,14.233
Glen,CUYLE,m,BEL,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PB,7,5.6,7.766,NA,13.366
Ilias,GEORGIOU,m,CYP,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PB,8,5.6,7.233,NA,12.833
Abdulla,AZIMOV,m,UZB,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PH,1,6.2,8.666,NA,14.866
Gagik,KHACHIKYAN,m,ARM,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PH,2,6.2,8.633,NA,14.833
Nariman,KURBANOV,m,KAZ,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PH,3,6.5,8.3,NA,14.8
Matvei,PETROV,m,ALB,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PH,4,6.2,8.5,NA,14.7
Rhys,MC CLENAGHAN,m,IRL,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PH,5,6.4,8.3,NA,14.7
Kazuma,KAYA,m,JPN,23-26 Feb 2023,World Cup,final,"Cottbus, Germany",PH,6,6.4,8.066,NA,14.466
