LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
AAS,Fredrik,m,NOR,23-26 Feb 2023,World Cup,qual,"Cottbus, Germany",HB,39,4.6,6.7,,11.3
AAS,Fredrik,m,NOR,23-26 Feb 2023,World Cup,qual,"Cottbus, Germany",PH,44,4.4,7.8,,12.2
ABAD,Nestor,m,ESP,11-16 Apr 2023,10th Senior European Championships,qual,"Antalya, Turkey",FX,94,4.6,8,0.1,12.5
ABAD,Nestor,m,ESP,11-16 Apr 2023,10th Senior European Championships,final,"Antalya, Turkey",HB,4,5.3,8.366,,13.666
ABAD,Nestor,m,ESP,11-16 Apr 2023,10th Senior European Championships,qual,"Antalya, Turkey",HB,5,5.3,8.433,,13.733
ABAD,Nestor,m,ESP,11-16 Apr 2023,10th Senior European Championships,qual,"Antalya, Turkey",PB,23,5.8,8.1,,13.9
ABAD,Nestor,m,ESP,11-16 Apr 2023,10th Senior European Championships,qual,"Antalya, Turkey",PH,28,5,8.233,,13.233
ABAD,Nestor,m,ESP,11-16 Apr 2023,10th Senior European Championships,qual,"Antalya, Turkey",SR,17,5.3,8.466,,13.766
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",FX,86,5.4,7.133,0.1,12.433
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",HB,10,5.3,8.5,,13.8
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,10,5.3,8.1,,13.4
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PB,9,5.8,8.6,,14.4
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,10,5.8,8.266,,14.066
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PH,105,5,5.5,,10.5
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",SR,23,5.3,8.366,,13.666
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,6,5.3,8.333,,13.633
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",VT1,36,5.2,9.2,0.3,14.1
ABBADINI,Yumin,m,ITA,11-16 Apr 2023,10th Senior European Championships,qual,"Antalya, Turkey",FX,11,5.5,8.466,,13.966
ABBADINI,Yumin,m,ITA,11-16 Apr 2023,10th Senior European Championships,qual,"Antalya, Turkey",HB,90,5.3,6.833,,12.133
