FirstName,LastName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Fredrik,AAS,m,NOR,23-26 Feb 2023,World Cup,qual,"Cottbus, Germany",HB,39,4.6,6.7,NA,11.3
Fredrik,AAS,m,NOR,23-26 Feb 2023,World Cup,qual,"Cottbus, Germany",PH,44,4.4,7.8,NA,12.2
Nestor,ABAD,m,ESP,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,qual,"Antalya, Turkey",FX,94,4.6,8,0.1,12.5
Nestor,ABAD,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",FX,86,5.4,7.133,0.1,12.433
Nestor,ABAD,m,ESP,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,final,"Antalya, Turkey",HB,4,5.3,8.366,NA,13.666
Nestor,ABAD,m,ESP,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,qual,"Antalya, Turkey",HB,5,5.3,8.433,NA,13.733
Nestor,ABAD,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",HB,10,5.3,8.5,NA,13.8
Nestor,ABAD,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,10,5.3,8.1,NA,13.4
Nestor,ABAD,m,ESP,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,qual,"Antalya, Turkey",PB,23,5.8,8.1,NA,13.9
Nestor,ABAD,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PB,9,5.8,8.6,NA,14.4
Nestor,ABAD,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,10,5.8,8.266,NA,14.066
Nestor,ABAD,m,ESP,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,qual,"Antalya, Turkey",PH,28,5,8.233,NA,13.233
Nestor,ABAD,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PH,105,5,5.5,NA,10.5
Nestor,ABAD,m,ESP,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,qual,"Antalya, Turkey",SR,17,5.3,8.466,NA,13.766
Nestor,ABAD,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",SR,23,5.3,8.366,NA,13.666
Nestor,ABAD,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,6,5.3,8.333,NA,13.633
Nestor,ABAD,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",VT1,36,5.2,9.2,0.3,14.1
Yumin,ABBADINI,m,ITA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",FX,11,5.5,8.033,NA,13.533
Yumin,ABBADINI,m,ITA,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,qual,"Antalya, Turkey",FX,11,5.5,8.466,NA,13.966
Yumin,ABBADINI,m,ITA,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",FX,19,5.4,8.433,NA,13.833
Yumin,ABBADINI,m,ITA,9–12 Mar 2023,World Cup,qual,"Baku, Azerbaijan",HB,10,5.3,8.233,NA,13.533
Yumin,ABBADINI,m,ITA,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,qual,"Antalya, Turkey",HB,90,5.3,6.833,NA,12.133
Yumin,ABBADINI,m,ITA,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",HB,11,5.6,8.2,NA,13.8
