FirstName,LastName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Luke,WHITEHOUSE,m,GBR,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",final,1,6.5,8.4,NA,14.9
Artem,DOLGOPYAT,m,ISR,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",final,2,6.1,8.566,NA,14.666
Milan,HOSSEINI,m,GER,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",final,3,5.9,8.3,NA,14.2
Harry,HEPWORTH,m,GBR,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",final,4,6.4,7.8,NA,14.2
Benjamin,OSBERGER,m,FRA,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",final,5,5.5,8.3,NA,13.8
Illia,KOVTUN,m,UKR,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",final,6,5.9,7.833,NA,13.733
Lucas,DESANGES,m,FRA,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",final,7,5.7,7.766,0.1,13.366
Noe,SEIFERT,m,SUI,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",final,8,5.7,7.1,NA,12.8
Harry,HEPWORTH,m,GBR,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",qual,1,6.3,8.3,NA,14.6
Artem,DOLGOPYAT,m,ISR,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",qual,2,6.1,8.266,NA,14.366
Noe,SEIFERT,m,SUI,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",qual,3,5.7,8.6,NA,14.3
Milan,HOSSEINI,m,GER,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",qual,4,6,8.266,NA,14.266
Benjamin,OSBERGER,m,FRA,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",qual,5,5.6,8.533,NA,14.133
Lucas,DESANGES,m,FRA,11-16 Apr 2023,10th EUROPEAN ARTISTIC GYMNASTICS CHAMPIONSHIPS,FX,"Antalya, Turkey",qual,6,5.7,8.4,NA,14.1
