FirstName,LastName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Artem,DOLGOPYAT,m,ISR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",FX,1,6.1,8.866,NA,14.966
Krisztofer,MESZAROS,m,HUN,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",FX,2,6,8.6,NA,14.6
Jake,JARMAN,m,GBR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",FX,3,6.3,8.133,NA,14.433
Nicola,BARTOLINI,m,ITA,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",FX,4,5.9,8.4,NA,14.3
Illia,KOVTUN,m,UKR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",FX,5,6.1,8.133,NA,14.233
Adem,ASIL,m,TUR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",FX,6,5.8,7.866,0.3,13.366
Giarnni,REGINI MORAN,m,GBR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",FX,7,5.9,7.033,NA,12.933
Ahmet,ONDER,m,TUR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",FX,8,5.8,7.033,NA,12.833
Marios,GEORGIOU,m,CYP,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",HB,1,6,8.4,NA,14.4
Robert,TVOROGAL,m,LTU,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",HB,2,5.6,8.4,NA,14
Joel,PLATA,m,ESP,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",HB,3,5.8,8.2,NA,14
James,HALL,m,GBR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",HB,4,5.5,8.433,NA,13.933
Noe,SEIFERT,m,SUI,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",HB,5,5.7,8.2,NA,13.9
Paul,DEGOUY,m,FRA,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",HB,6,4.9,8.266,NA,13.166
Noah,KUAVITA,m,BEL,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",HB,7,5.4,7.766,NA,13.166
Ahmet,ONDER,m,TUR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",HB,8,5.5,6.866,NA,12.366
Joe,FRASER,m,GBR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PB,1,6.5,8.833,NA,15.333
Illia,KOVTUN,m,UKR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PB,2,6.6,8.733,NA,15.333
Giarnni,REGINI MORAN,m,GBR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PB,3,6.3,8.566,NA,14.866
Nicolau,MIR,m,ESP,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PB,4,5.9,8.833,NA,14.733
Matteo,LEVANTESI,m,ITA,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PB,5,5.7,8.733,NA,14.433
Ahmet,ONDER,m,TUR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PB,6,6.2,8.166,NA,14.366
Ferhat,ARICAN,m,TUR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PB,7,6.5,7.2,NA,13.7
Lukas,DAUSER,m,GER,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PB,8,6.2,7.433,NA,13.633
Harutyun,MERDINYAN,m,ARM,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PH,1,6.1,8.633,NA,14.733
Loran,DE MUNCK,m,NED,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PH,2,6.3,8.4,NA,14.7
Nils,DUNKEL,m,GER,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PH,3,6.1,8.533,NA,14.633
Benjamin,OSBERGER,m,FRA,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PH,4,5.8,8.766,NA,14.566
Ferhat,ARICAN,m,TUR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PH,5,5.8,8.466,NA,14.266
Artur,DAVTYAN,m,ARM,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PH,6,5.7,8.333,NA,14.033
Filip,UDE,m,CRO,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PH,7,5.4,8.533,NA,13.933
Joe,FRASER,m,GBR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",PH,8,5.8,8.1,NA,13.9
Eleftherios,PETROUNIAS,m,GRE,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",SR,1,6.2,8.933,NA,15.133
Adem,ASIL,m,TUR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",SR,2,6.3,8.733,NA,15.033
Courtney,TULLOCH,m,GBR,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",SR,3,6.1,8.766,NA,14.866
Vahagn,DAVTYAN,m,ARM,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",SR,4,6,8.766,NA,14.766
Vinzenz,HOECK,m,AUT,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",SR,5,6.2,8.533,NA,14.733
Nikita,SIMONOV,m,AZE,18-21 Aug 2022,2022 Senior European Championships ,final,"Munich, Germany",SR,6,6.3,8.266,NA,14.566
