FirstName,LastName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Chenchen,GUAN,w,CHN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,1,6.9,8.033,NA,14.933
Xijing,TANG,w,CHN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,2,6.2,8.133,NA,14.333
Sunisa,LEE,w,USA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,3,6.2,8,NA,14.2
Larisa Andreea,IORDACHE,w,ROU,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,4,6.2,7.933,NA,14.133
Yufei,LU,w,CHN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,5,6,8.1,NA,14.1
Elsabeth,BLACK,w,CAN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,6,6.3,7.8,NA,14.1
Simone,BILES,w,USA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,7,6.5,7.566,NA,14.066
Vladislava,URAZOVA,w,ROC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,8,5.8,8.2,NA,14
Flavia,SARAIVA,w,BRA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,9,5.9,8.066,NA,13.966
Jin,ZHANG,w,CHN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,10,6,7.966,NA,13.966
Yushan,OU,w,CHN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,11,5.9,8.033,NA,13.933
Urara,ASHIKAWA,w,JPN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,12,5.9,8,NA,13.9
Viktoriia,LISTUNOVA,w,ROC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,13,5.6,8.266,NA,13.866
Sanne,WEVERS,w,NED,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,14,5.8,8.066,NA,13.866
Nina,DERWAEL,w,BEL,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,15,5.4,8.366,NA,13.766
Elena,GERASIMOVA,w,ROC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,16,5.7,8.066,NA,13.766
Angelina,MELNIKOVA,w,ROC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,17,5.5,8.233,NA,13.733
Rebeca,ANDRADE,w,BRA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,18,5.8,7.933,NA,13.733
Jutta,VERKEST,w,BEL,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,19,5.5,8.166,NA,13.666
Yuna,HIRAIWA,w,JPN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,20,5.6,7.933,NA,13.533
Mai,MURAKAMI,w,JPN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,21,5.7,7.766,NA,13.466
Marine,BOYER,w,FRA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,22,5.8,7.666,NA,13.466
Lieke,WEVERS,w,NED,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,23,5.4,7.966,NA,13.366
Jennifer,GADIROVA,w,GBR,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,24,5.2,8.1,NA,13.3
Brooklyn,MOORS,w,CAN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,25,5.4,7.9,NA,13.3
Melanie,JESUS SANTOS,w,FRA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,26,5.3,7.933,NA,13.233
Mykayla,SKINNER,w,USA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,27,6.1,7.133,NA,13.233
Carolann,HEDUIT,w,FRA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,28,5.2,8,NA,13.2
Zsofia,KOVACS,w,HUN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,29,5.3,7.833,NA,13.133
Asia,D AMATO,w,ITA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,29,5.3,7.833,NA,13.133
Martina,MAGGIO,w,ITA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,31,5,8.066,NA,13.066
Mc Grace,CALLUM,w,USA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,32,5.2,7.866,NA,13.066
Maellyse,BRASSART,w,BEL,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,33,4.9,8.133,NA,13.033
Amelie,MORGAN,w,GBR,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,34,5.5,7.533,NA,13.033
Hitomi,HATAKEDA,w,JPN,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,35,5.2,7.8,NA,13
Pauline,SCHAEFER BETZ,w,GER,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,36,5.2,7.766,NA,12.966
Luciana,ALVARADO,w,CRC,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,37,5.3,7.666,NA,12.966
Georgia,GODWIN,w,AUS,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,38,5.5,7.4,NA,12.9
Jessica,GADIROVA,w,GBR,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,39,5.1,7.766,NA,12.866
Roxana,POPA,w,ESP,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,40,5.3,7.566,NA,12.866
Jade,CAREY,w,USA,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,41,5.4,7.466,NA,12.866
Yunseo,LEE,w,KOR,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,42,5.5,7.341,NA,12.841
Maria,HOLBURA,w,ROU,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,43,5.4,7.3,NA,12.7
Kim,BUI,w,GER,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,44,4.8,7.866,NA,12.666
Emily,WHITEHEAD,w,AUS,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,45,5,7.666,NA,12.666
Laura,BECHDEJU,w,ESP,25 July 2021,Olympic Games,qual,"Tokyo, Japan",BB,45,5,7.666,NA,12.666
